country,year,chain_value_air
alb,1990,
alb,1991,
alb,1992,
alb,1993,
alb,1994,
alb,1995,
alb,1996,
alb,1997,
alb,1998,
alb,1999,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,
alb,2009,
alb,2010,
alb,2011,
alb,2012,
alb,2013,
alb,2014,
alb,2015,
alb,2016,
alb,2017,
alb,2018,
alb,2019,
alb,2020,
alb,2021,
alb,2022,
alb,2023,
aut,1990,
aut,1991,
aut,1992,
aut,1993,
aut,1994,
aut,1995,
aut,1996,
aut,1997,
aut,1998,
aut,1999,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,1730.4
aut,2009,1445
aut,2010,1628.3
aut,2011,1100.6
aut,2012,1026.4
aut,2013,674.9
aut,2014,773.2
aut,2015,731.3
aut,2016,580.6
aut,2017,709
aut,2018,856.1
aut,2019,732.7
aut,2020,19.1
aut,2021,30.7
aut,2022,365.2
aut,2023,
bel,1990,
bel,1991,
bel,1992,
bel,1993,
bel,1994,
bel,1995,
bel,1996,
bel,1997,
bel,1998,
bel,1999,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,414.2
bel,2009,360.1
bel,2010,360.9
bel,2011,367.4
bel,2012,525.2
bel,2013,438
bel,2014,456.7
bel,2015,512.4
bel,2016,459.8
bel,2017,404
bel,2018,342.8
bel,2019,377.2
bel,2020,47.1
bel,2021,133.8
bel,2022,
bel,2023,
bih,1990,
bih,1991,
bih,1992,
bih,1993,
bih,1994,
bih,1995,
bih,1996,
bih,1997,
bih,1998,
bih,1999,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,
bih,2009,
bih,2010,
bih,2011,
bih,2012,
bih,2013,
bih,2014,
bih,2015,
bih,2016,
bih,2017,
bih,2018,
bih,2019,
bih,2020,
bih,2021,
bih,2022,
bih,2023,
bgr,1990,
bgr,1991,
bgr,1992,
bgr,1993,
bgr,1994,
bgr,1995,
bgr,1996,
bgr,1997,
bgr,1998,
bgr,1999,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,267.9
bgr,2009,271.8
bgr,2010,272.4
bgr,2011,222.2
bgr,2012,238.3
bgr,2013,212.7
bgr,2014,262.6
bgr,2015,246.7
bgr,2016,157.4
bgr,2017,169.7
bgr,2018,143.6
bgr,2019,167.1
bgr,2020,7.2
bgr,2021,40.3
bgr,2022,158.6
bgr,2023,
hrv,1990,
hrv,1991,
hrv,1992,
hrv,1993,
hrv,1994,
hrv,1995,
hrv,1996,
hrv,1997,
hrv,1998,
hrv,1999,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,105.8
hrv,2009,76.7
hrv,2010,60
hrv,2011,63
hrv,2012,60
hrv,2013,78.5
hrv,2014,59.7
hrv,2015,52.5
hrv,2016,50
hrv,2017,50.9
hrv,2018,52.5
hrv,2019,30
hrv,2020,15.7
hrv,2021,38.3
hrv,2022,114.8
hrv,2023,
cyp,1990,
cyp,1991,
cyp,1992,
cyp,1993,
cyp,1994,
cyp,1995,
cyp,1996,
cyp,1997,
cyp,1998,
cyp,1999,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,-156.3
cyp,2009,-99.8
cyp,2010,-47.3
cyp,2011,-41.3
cyp,2012,-23.1
cyp,2013,3.4
cyp,2014,6.2
cyp,2015,2.6
cyp,2016,-20
cyp,2017,-28.1
cyp,2018,-29.4
cyp,2019,-10.4
cyp,2020,-6.8
cyp,2021,-9.6
cyp,2022,
cyp,2023,
cze,1990,
cze,1991,
cze,1992,
cze,1993,
cze,1994,
cze,1995,
cze,1996,
cze,1997,
cze,1998,
cze,1999,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,202633
cze,2009,112230
cze,2010,81255
cze,2011,70062
cze,2012,60077
cze,2013,30307
cze,2014,10235
cze,2015,3199
cze,2016,2553
cze,2017,3073
cze,2018,2510
cze,2019,1037
cze,2020,467
cze,2021,466
cze,2022,965
cze,2023,
dnk,1990,
dnk,1991,
dnk,1992,
dnk,1993,
dnk,1994,
dnk,1995,
dnk,1996,
dnk,1997,
dnk,1998,
dnk,1999,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,1114.7
dnk,2009,1455.3
dnk,2010,1943.6
dnk,2011,5110.6
dnk,2012,6436.2
dnk,2013,6420.4
dnk,2014,6708.3
dnk,2015,4520
dnk,2016,5564.1
dnk,2017,6879.1
dnk,2018,7324.2
dnk,2019,7894.7
dnk,2020,2036.4
dnk,2021,
dnk,2022,
dnk,2023,
est,1990,
est,1991,
est,1992,
est,1993,
est,1994,
est,1995,
est,1996,
est,1997,
est,1998,
est,1999,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,-35.6
est,2009,-18.9
est,2010,-24.6
est,2011,-26
est,2012,-32
est,2013,21.2
est,2014,20.8
est,2015,20.1
est,2016,12.5
est,2017,-80.3
est,2018,-51.1
est,2019,-50.9
est,2020,-421.6
est,2021,337.9
est,2022,367
est,2023,
fin,1990,
fin,1991,
fin,1992,
fin,1993,
fin,1994,
fin,1995,
fin,1996,
fin,1997,
fin,1998,
fin,1999,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,1042
fin,2009,219
fin,2010,348
fin,2011,490
fin,2012,772
fin,2013,983
fin,2014,777
fin,2015,576
fin,2016,548
fin,2017,821
fin,2018,952
fin,2019,921
fin,2020,-300
fin,2021,-245
fin,2022,397
fin,2023,
fra,1990,
fra,1991,
fra,1992,
fra,1993,
fra,1994,
fra,1995,
fra,1996,
fra,1997,
fra,1998,
fra,1999,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,6405.7
fra,2009,5193.6
fra,2010,7215.5
fra,2011,7829.2
fra,2012,8381.8
fra,2013,8445.4
fra,2014,7928.5
fra,2015,7395
fra,2016,7672.6
fra,2017,8115.7
fra,2018,8337.2
fra,2019,9129.2
fra,2020,2290.6
fra,2021,2398.8
fra,2022,
fra,2023,
deu,1990,
deu,1991,
deu,1992,
deu,1993,
deu,1994,
deu,1995,
deu,1996,
deu,1997,
deu,1998,
deu,1999,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,14391.1
deu,2009,11145.2
deu,2010,15401.3
deu,2011,13005.4
deu,2012,10988.4
deu,2013,12009.5
deu,2014,6572.3
deu,2015,8383
deu,2016,7163.3
deu,2017,7668.8
deu,2018,8512.1
deu,2019,7647
deu,2020,2415.1
deu,2021,3511.6
deu,2022,
deu,2023,
grc,1990,
grc,1991,
grc,1992,
grc,1993,
grc,1994,
grc,1995,
grc,1996,
grc,1997,
grc,1998,
grc,1999,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,610.5
grc,2009,471.3
grc,2010,528.8
grc,2011,466.2
grc,2012,522.4
grc,2013,407.6
grc,2014,441.8
grc,2015,545.1
grc,2016,614.4
grc,2017,727.3
grc,2018,771
grc,2019,658.3
grc,2020,267.8
grc,2021,404.6
grc,2022,659.3
grc,2023,
hun,1990,
hun,1991,
hun,1992,
hun,1993,
hun,1994,
hun,1995,
hun,1996,
hun,1997,
hun,1998,
hun,1999,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,74407
hun,2009,154339
hun,2010,143154
hun,2011,124218
hun,2012,134830
hun,2013,125672
hun,2014,120464
hun,2015,167109
hun,2016,199170
hun,2017,232229
hun,2018,231251
hun,2019,292954
hun,2020,92632
hun,2021,79588
hun,2022,-75680
hun,2023,
isl,1990,
isl,1991,
isl,1992,
isl,1993,
isl,1994,
isl,1995,
isl,1996,
isl,1997,
isl,1998,
isl,1999,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,40577.4
isl,2009,37306.8
isl,2010,39338.1
isl,2011,42131.3
isl,2012,46884
isl,2013,52851.5
isl,2014,52670.5
isl,2015,58651.1
isl,2016,68081
isl,2017,77130.5
isl,2018,86204.8
isl,2019,75950
isl,2020,30927.4
isl,2021,34430.2
isl,2022,58325.4
isl,2023,
irl,1990,
irl,1991,
irl,1992,
irl,1993,
irl,1994,
irl,1995,
irl,1996,
irl,1997,
irl,1998,
irl,1999,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,1966.9
irl,2009,1716.8
irl,2010,1587.8
irl,2011,1572.3
irl,2012,1695.5
irl,2013,1694.3
irl,2014,1836.3
irl,2015,
irl,2016,
irl,2017,
irl,2018,
irl,2019,
irl,2020,
irl,2021,
irl,2022,
irl,2023,
ita,1990,
ita,1991,
ita,1992,
ita,1993,
ita,1994,
ita,1995,
ita,1996,
ita,1997,
ita,1998,
ita,1999,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,4484.7
ita,2009,2901.6
ita,2010,3790.8
ita,2011,5353.9
ita,2012,3799.3
ita,2013,1493.3
ita,2014,2227.6
ita,2015,705.2
ita,2016,1755
ita,2017,2098
ita,2018,2492.4
ita,2019,2948.5
ita,2020,714.7
ita,2021,201.3
ita,2022,
ita,2023,
kos,1990,
kos,1991,
kos,1992,
kos,1993,
kos,1994,
kos,1995,
kos,1996,
kos,1997,
kos,1998,
kos,1999,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,3
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
lva,1990,
lva,1991,
lva,1992,
lva,1993,
lva,1994,
lva,1995,
lva,1996,
lva,1997,
lva,1998,
lva,1999,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,10.4
lva,2009,11.6
lva,2010,-54.6
lva,2011,-10
lva,2012,36.1
lva,2013,59.1
lva,2014,43.2
lva,2015,42
lva,2016,113.9
lva,2017,188
lva,2018,397.7
lva,2019,319.4
lva,2020,-77.9
lva,2021,104.2
lva,2022,
lva,2023,
lie,1990,
lie,1991,
lie,1992,
lie,1993,
lie,1994,
lie,1995,
lie,1996,
lie,1997,
lie,1998,
lie,1999,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
ltu,1990,
ltu,1991,
ltu,1992,
ltu,1993,
ltu,1994,
ltu,1995,
ltu,1996,
ltu,1997,
ltu,1998,
ltu,1999,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,31.3
ltu,2009,32.1
ltu,2010,32.7
ltu,2011,25.4
ltu,2012,30.4
ltu,2013,31.2
ltu,2014,33.6
ltu,2015,35.8
ltu,2016,27
ltu,2017,39.1
ltu,2018,43
ltu,2019,48.1
ltu,2020,7.6
ltu,2021,14.2
ltu,2022,
ltu,2023,
lux,1990,
lux,1991,
lux,1992,
lux,1993,
lux,1994,
lux,1995,
lux,1996,
lux,1997,
lux,1998,
lux,1999,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
mlt,1990,
mlt,1991,
mlt,1992,
mlt,1993,
mlt,1994,
mlt,1995,
mlt,1996,
mlt,1997,
mlt,1998,
mlt,1999,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,
mlt,2009,
mlt,2010,
mlt,2011,
mlt,2012,
mlt,2013,
mlt,2014,
mlt,2015,
mlt,2016,
mlt,2017,88.7
mlt,2018,123.8
mlt,2019,132.6
mlt,2020,-27.3
mlt,2021,130.9
mlt,2022,325.3
mlt,2023,
mne,1990,
mne,1991,
mne,1992,
mne,1993,
mne,1994,
mne,1995,
mne,1996,
mne,1997,
mne,1998,
mne,1999,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,4.2
mne,2011,
mne,2012,
mne,2013,
mne,2014,
mne,2015,
mne,2016,
mne,2017,
mne,2018,
mne,2019,
mne,2020,
mne,2021,
mne,2022,
mne,2023,
nld,1990,
nld,1991,
nld,1992,
nld,1993,
nld,1994,
nld,1995,
nld,1996,
nld,1997,
nld,1998,
nld,1999,
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,2961
nld,2009,2431
nld,2010,3010
nld,2011,3305
nld,2012,3372
nld,2013,3435
nld,2014,3591
nld,2015,3546
nld,2016,4002
nld,2017,4054
nld,2018,4261
nld,2019,4181
nld,2020,1023
nld,2021,1224
nld,2022,2503
nld,2023,
mkd,1990,
mkd,1991,
mkd,1992,
mkd,1993,
mkd,1994,
mkd,1995,
mkd,1996,
mkd,1997,
mkd,1998,
mkd,1999,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,1.4
mkd,2009,-3
mkd,2010,-38.5
mkd,2011,-36
mkd,2012,9.8
mkd,2013,9.2
mkd,2014,21.5
mkd,2015,28
mkd,2016,19
mkd,2017,12.3
mkd,2018,12.3
mkd,2019,2.2
mkd,2020,2.2
mkd,2021,
mkd,2022,
mkd,2023,
nor,1990,
nor,1991,
nor,1992,
nor,1993,
nor,1994,
nor,1995,
nor,1996,
nor,1997,
nor,1998,
nor,1999,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,21604
nor,2009,19729
nor,2010,17654
nor,2011,18294
nor,2012,14273
nor,2013,13181
nor,2014,8814
nor,2015,7505
nor,2016,7125
nor,2017,7890
nor,2018,5946
nor,2019,1888
nor,2020,-2247
nor,2021,3894
nor,2022,
nor,2023,
pol,1990,
pol,1991,
pol,1992,
pol,1993,
pol,1994,
pol,1995,
pol,1996,
pol,1997,
pol,1998,
pol,1999,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,
pol,2009,
pol,2010,
pol,2011,
pol,2012,
pol,2013,
pol,2014,
pol,2015,
pol,2016,
pol,2017,
pol,2018,
pol,2019,
pol,2020,
pol,2021,
pol,2022,
pol,2023,
prt,1990,
prt,1991,
prt,1992,
prt,1993,
prt,1994,
prt,1995,
prt,1996,
prt,1997,
prt,1998,
prt,1999,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,1545.8
prt,2009,1435.7
prt,2010,1524.5
prt,2011,1264.9
prt,2012,1314.5
prt,2013,1327.4
prt,2014,1083.7
prt,2015,903.2
prt,2016,729.7
prt,2017,936.7
prt,2018,1033.7
prt,2019,993.3
prt,2020,-92.3
prt,2021,158.1
prt,2022,
prt,2023,
rou,1990,
rou,1991,
rou,1992,
rou,1993,
rou,1994,
rou,1995,
rou,1996,
rou,1997,
rou,1998,
rou,1999,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,3071.7
rou,2009,3174.8
rou,2010,2663.3
rou,2011,1980.2
rou,2012,1964.9
rou,2013,1691.7
rou,2014,692.8
rou,2015,708.1
rou,2016,718.8
rou,2017,1162.6
rou,2018,899.2
rou,2019,1452.4
rou,2020,354.6
rou,2021,523.1
rou,2022,1535.5
rou,2023,
srb,1990,
srb,1991,
srb,1992,
srb,1993,
srb,1994,
srb,1995,
srb,1996,
srb,1997,
srb,1998,
srb,1999,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,1206
srb,2009,1060.5
srb,2010,1080.7
srb,2011,1346.3
srb,2012,1376.2
srb,2013,1423.7
srb,2014,2294.5
srb,2015,2555
srb,2016,2721
srb,2017,2873.2
srb,2018,2565.9
srb,2019,2776.2
srb,2020,1008.5
srb,2021,1682.8
srb,2022,2686.4
srb,2023,
svk,1990,
svk,1991,
svk,1992,
svk,1993,
svk,1994,
svk,1995,
svk,1996,
svk,1997,
svk,1998,
svk,1999,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,10.1
svk,2009,47.6
svk,2010,39.2
svk,2011,79.3
svk,2012,74
